cluster,cell.type.1,cell.type.2,lineage,marker,comment,
1,Foxc+ epidermis,palp,epidermis a-lineage,foxc eya,,
2,Pax6+Cdx+ neural cells,tail nerve chord A,A-lineage,Efna.d Hox5 cdx pax3/7 pax6,,
3,Foxa+Cdx+ neural cells,trunk nerve cord A,A-lineage,foxa Chr2.369 Kdm8 cdx,,
4,Dmrt+ neural cells,Early progenitor cells,a-lineage,Dmrt,,
5,Foxb+ neural cells,Progenitor cells,A-lineage,"FoxB Mytl No syt1, some PC2",rowII derived cells? - Posterior sensory vesicle,
6,Eya+ epidermis,Anterior epidermis,epidermis a-lineage,Uxs1 Tff Eya,,
7,Eya+ epidermis,Anterior epidermis,epidermis a-lineage,Uxs1 Tff Eya,,
8,Six3/6+Otp+ cells,Row IV derived,a-lineage,Otp,Include row IV (six3/6+),
9,Pax3/7+ epidermis,Posterior Midline epidermis,epidmeris b-lineage,pax3/7 Msx Uxs1 Cdx,,
10,Foxb+ neural cells,Early progenitor cells,A-lineage,pax3/7 Fgf9/16/20,IncludeEarly progenitor cells,
11,Sall1+ neural cells,Early progenitor cells,A-lineage,no real marker,,
12,Pax3/7+ epidermis,Anterior Midline epidermis,epidmeris b-lineage,pax3/7 Cdx-,,
13,Myt+ neural cells,Early progenitor cells,a-lineage,myt,a9.37 (rowIII) progenitors for coronet cells and switch neurons,also include a9.33?
14,Wnt5+ epidermis,Early progenitor cells,epidmeris b-lineage,,,
15,Lmx+ neural cells,foxd+ cells,b-lineage,foxd pax3/7,,
16,Hox12+ epidermis,Posterior Tip Midline epidermis,epidmeris b-lineage,wnt5a vGlut Fgf8/17/18,,
17,Lhx3/4+ neural cells,Kcnb1+ MG,A-lineage,"syt1 vAcht, other MG neuron?",,
18,Hox12+ epidermis,Posterior Tip Midline epidermis,epidmeris b-lineage,,,
19,Msx+ Dlx+ neural cells,Early progenitor cells,b-lineage,,,
20,En+ neural cells,En+ ependymal cells,A-lineage,Engrailed pax3/7 Fgf8/17/18,,
21,Tbx2/3+ neural cells,b nerve cord,b-lineage,cdx pax3/7,,
22,Dlx+ epidermis,Midline epidermis,epidmeris b-lineage,pax3/7,,
23,Hox12+ epidermis,Posterior Tip Midline epidermis,epidmeris b-lineage,,,
24,Pax2/5/8+ neural cells,Pax2/5/8+ Neck,A-lineage,pax2/5/8 pax3/7,,
25,Hand2+ neural cells,rubber cells,b-lineage,foxd,,
26,PouIV+ neural cells,Peripheral neurons,epidermis a- and b-lineage,syt1 vGlut include aATENs cesns btns Fgf11/12/13/14 asic1 ,,
27,Gsx+ neural cells,antenna cells,a-lineage,opn1 capn15,,
28,Ptf1a+ neural cells,coronet cells,a-lineage,ptf1a,,
29,Otx+ Pax3/7+ neural cells,Hh2 + cells,a-lineage,weak slc23a1 pax3/7 ptchd4 tyrp1,,
30,Mitf+ neural cells,pigment cells,a-lineage,tyrp1,,
31,Rx+ neural cells,OACCs,a-lineage,alox5,,
32,Lmx+Onecut+ neural cells,Photoreceptor,A-lineage,syt1 opn1,,
33,Prop+ neural cells,Eminens neuron,a-lineage,syt1 prop,,
34,Mnx+ Pax6+ neural cells,motor neurons,A-lineage,cdx hoxd12 weak vAcht gad Efna.d neuron marker,,
35,Neurod+ neural cells,Switch neurons,a-lineage,Neurod syt1 opn1,,
