	gene	clusterLabels3	human.homolog	ciona.name
1	KY21:KY21.Chr1.1004	-1	DNAJC2	
2	KY21:KY21.Chr1.101	-1	NAA10	
3	KY21:KY21.Chr1.1024	14	CEP85	
4	KY21:KY21.Chr1.1046	-1	RBM33	
5	KY21:KY21.Chr1.1130	12	HSP90B1	
6	KY21:KY21.Chr1.1138	1	TEKT2	
7	KY21:KY21.Chr1.1160	-1	DDX19B	
8	KY21:KY21.Chr1.1171	6	CABP4	
9	KY21:KY21.Chr1.1180	-1	MMAB	
10	KY21:KY21.Chr1.1211	2	TSPAN7	
11	KY21:KY21.Chr1.1215	-1	COL4A6	
12	KY21:KY21.Chr1.1239	-1	DYM	
13	KY21:KY21.Chr1.1257	3	LAMA2	
14	KY21:KY21.Chr1.1309	-1	MRPL34	
15	KY21:KY21.Chr1.1310	-1	PSMA3	
16	KY21:KY21.Chr1.1462	-1	FUCA1	
17	KY21:KY21.Chr1.1478	-1	TRAPPC1	
18	KY21:KY21.Chr1.1593	1	PDK2	
19	KY21:KY21.Chr1.1596	-1	ANKMY2	
20	KY21:KY21.Chr1.1632	13	DTD2	
21	KY21:KY21.Chr1.176	17	ATP5MC2	
22	KY21:KY21.Chr1.1803	-1	SCYL2	
23	KY21:KY21.Chr1.181	-1	CLNS1A	
24	KY21:KY21.Chr1.1813	-1	DHX37	
25	KY21:KY21.Chr1.188	-1	EPHA4	Eph.a
26	KY21:KY21.Chr1.1933	1	TSPAN9	
27	KY21:KY21.Chr1.1965	2	GABARAP	
28	KY21:KY21.Chr1.1997	-1	HELLS	
29	KY21:KY21.Chr1.201	-1	MRPS11	
30	KY21:KY21.Chr1.2049	-1	HERC4	
31	KY21:KY21.Chr1.2080	-1	MRPS10	
32	KY21:KY21.Chr1.2081	-1	PRCP	
33	KY21:KY21.Chr1.211	2	CAPN9	
34	KY21:KY21.Chr1.2121	3	GSK3B	Gsk3
35	KY21:KY21.Chr1.2126	-1	GTF2F1	
36	KY21:KY21.Chr1.2171	-1	USP37	
37	KY21:KY21.Chr1.228	-1	HADHB	
38	KY21:KY21.Chr1.229	-1	HADHA	
39	KY21:KY21.Chr1.275	-1	TFF2	
40	KY21:KY21.Chr1.306	-1	COQ4	
41	KY21:KY21.Chr1.345	-1	ABT1	
42	KY21:KY21.Chr1.36	-1	GYG1	
43	KY21:KY21.Chr1.365	12	USP14	
44	KY21:KY21.Chr1.37	-1	DOCK9	
45	KY21:KY21.Chr1.458	-1	SCO1	
46	KY21:KY21.Chr1.459	1	MXI1	MAD
47	KY21:KY21.Chr1.502	-1	MRPL9	
48	KY21:KY21.Chr1.506	15	PTRH2	
49	KY21:KY21.Chr1.559	-1	ATP5PD	
