"","gene","human.homolog","ciona.name"
"1","KY21:KY21.Chr1.1","FGF13","Fgf11/12/13/14"
"2","KY21:KY21.Chr1.10","TAF9",""
"3","KY21:KY21.Chr1.100","EFCAB12",""
"4","KY21:KY21.Chr1.1000","PSMB7",""
"5","KY21:KY21.Chr1.1001","LRRC47",""
"6","KY21:KY21.Chr1.1002","TDRD1",""
"7","KY21:KY21.Chr1.1003","ALG9",""
"8","KY21:KY21.Chr1.1004","DNAJC2",""
"9","KY21:KY21.Chr1.1005","MYO18B",""
"10","KY21:KY21.Chr1.1006","NUAK1",""
"11","KY21:KY21.Chr1.1007","DDX31",""
"12","KY21:KY21.Chr1.1008","RECQL",""
"13","KY21:KY21.Chr1.1009","SUMF1",""
"14","KY21:KY21.Chr1.101","NAA10",""
"15","KY21:KY21.Chr1.1010","GAS2",""
"16","KY21:KY21.Chr1.1011","SLC9A9",""
"17","KY21:KY21.Chr1.1012","SPEN",""
"18","KY21:KY21.Chr1.1013","SPEN",""
"19","KY21:KY21.Chr1.1014","XPO7",""
"20","KY21:KY21.Chr1.1015","RFK",""
"21","KY21:KY21.Chr1.1016","CPOX",""
"22","KY21:KY21.Chr1.1017","NADK",""
"23","KY21:KY21.Chr1.1018","ABRAXAS2",""
"24","KY21:KY21.Chr1.1019","PPM1G",""
"25","KY21:KY21.Chr1.102","DNAJB9",""
"26","KY21:KY21.Chr1.1020","MGME1",""
"27","KY21:KY21.Chr1.1021","SUPT6H",""
"28","KY21:KY21.Chr1.1022","CCDC15",""
"29","KY21:KY21.Chr1.1023","COL12A1",""
"30","KY21:KY21.Chr1.1024","CEP85",""
"31","KY21:KY21.Chr1.1025","CLEC4F",""
"32","KY21:KY21.Chr1.1026","BMP8A","Tgfbtun2"
"33","KY21:KY21.Chr1.1027","GNAI1",""
"34","KY21:KY21.Chr1.1028","MAP2K6",""
"35","KY21:KY21.Chr1.1029","UVRAG",""
"36","KY21:KY21.Chr1.103","SMYD3",""
"37","KY21:KY21.Chr1.1030","POLR1B",""
"38","KY21:KY21.Chr1.1031","EPC1",""
"39","KY21:KY21.Chr1.1032","POLE",""
"40","KY21:KY21.Chr1.1033","GRINA",""
"41","KY21:KY21.Chr1.1034","CLDN18 / ADGRL4 / HERC6",""
"42","KY21:KY21.Chr1.1035","DDX58",""
"43","KY21:KY21.Chr1.1036","FYCO1",""
"44","KY21:KY21.Chr1.1037","MMP14 / MMP16",""
"45","KY21:KY21.Chr1.1038","BPIFB4 / BPI",""
"46","KY21:KY21.Chr1.1039","CRYBG2",""
"47","KY21:KY21.Chr1.104","B4GALT1",""
"48","KY21:KY21.Chr1.1040","APIP",""
"49","KY21:KY21.Chr1.1041","GPR155",""
"50","KY21:KY21.Chr1.1042","SH3GLB1",""
"51","KY21:KY21.Chr1.1043","IL17C",""
"52","KY21:KY21.Chr1.1044","TBX20","Tbx20"
"53","KY21:KY21.Chr1.1045","TXN",""
"54","KY21:KY21.Chr1.1046","RBM33",""
"55","KY21:KY21.Chr1.1047","LRRC8E",""
"56","KY21:KY21.Chr1.1048","CCDC92",""
"57","KY21:KY21.Chr1.1049","CNTD1",""
"58","KY21:KY21.Chr1.105","RTL1",""
"59","KY21:KY21.Chr1.1050","GSTM3",""
"60","KY21:KY21.Chr1.1051","CYRIB",""
"61","KY21:KY21.Chr1.1052","FBXO32",""
"62","KY21:KY21.Chr1.1053","RXFP2",""
"63","KY21:KY21.Chr1.1054","RP1L1",""
"64","KY21:KY21.Chr1.1055","PRIM2",""
"65","KY21:KY21.Chr1.1056","NSMCE1",""
"66","KY21:KY21.Chr1.1057","TACC1",""
"67","KY21:KY21.Chr1.1058","ZNF143","Ci-ZF129"
"68","KY21:KY21.Chr1.1059","COPS7A",""
"69","KY21:KY21.Chr1.106","RTL1",""
"70","KY21:KY21.Chr1.1060","SCYL3",""
"71","KY21:KY21.Chr1.1061","DDX39B",""
"72","KY21:KY21.Chr1.1062","KIFAP3",""
"73","KY21:KY21.Chr1.1063","NR6A1 / CDIPTOSP","Nr6a"
"74","KY21:KY21.Chr1.1064","KEAP1",""
"75","KY21:KY21.Chr1.1065","ERCC6L / ZNF791",""
"76","KY21:KY21.Chr1.1066","COG7",""
