Gene Name_KY,Meaning_KY,Clone used for ISH,KY gene model,Old Name_KY
Ahr, aryl hydrocarbon receptor,ciad002p14,KY21.Chr12.881,
Arnt, aryl hydrocarbon receptor nuclear translocator,ciad002e16,KY21.Chr5.623,
Arx, aristaless related homeobox,not analyzed,KY21.Chr1.976,aristaless
Ascl.a, achaete-scute family bHLH transcription factor.a,citb032n03,KY21.Chr2.1499,Achaete-Scute a-like2
Ascl.b, achaete-scute family bHLH transcription factor.b,not analyzed,KY21.Chr2.1212,Achaete-Scute b
Ascl.c, achaete-scute family bHLH transcription factor.c,grail.125.28.1,KY21.Chr2.1092,Achaete-Scute a-like1
Atf2/7, activating transcription factor 2/7,cieg084e13,KY21.Chr7.493,
Atf3, activating transcription factor 3 ,cies007p15,KY21.Chr10.1083,
Atf4/5, activating transcription factor 4/5 ,ciad001d09,KY21.Chr3.266,
Atf6, activating transcription factor 6,cicl059p09,KY21.Chr13.319,CREB/ATF-d
Atoh,atonal bHLH transcription factor,grail.13.93.1,KY21.Chr8.242,
Atoh8, atonbal bHLH transcription factor 8,grail.370.6.1,KY21.Chr9.178,Net
Bach, BTB domain and CNC homolog,cieg041k16,KY21.Chr6.380,
Barhl, Barh like homeobox,grail.12.86.1,KY21.Chr11.400,BarH
Barx.a, Barx homeobox.a,grail.64.37.1,KY21.Chr7.1101,BarX-A
Barx.b, Barx homeobox.b,grail.96.40.1,KY21.Chr5.31,BarX-B
Barx.c, Barx homeobox.c,grail.157.25.1,KY21.Chr4.1087,BarX-C
Bhlha15, basic helix-loop-helix family member a15,ciad038c17,KY21.Chr3.1287,Mist
bHLH-like1,,not analyzed,KY21.Chr9.360,
Bhlhtun1, Tunicate bhlh 1,cicl012b03,KY21.Chr7.1130,Orphan bHLH-1
Bhlhtun2, Tunicate bhlh 2,grail.26.106.1,KY21.Chr4.865,Orphan bHLH-2
Bhlhtun3, Tunicate bhlh 3,not analyzed,KY21.Chr10.979,Orphan bHLH-3
Bhlhtun4, Tunicate bhlh 4,cibd043g10,KY21.Chr4.1053,Orphan bHLH-4
Bsx, brain specific homeobox ,citb041n24,KY21.Chr8.555,Bsh
Bziptun1, Tunicate bzip 1,cits031a06,KY21.Chr13.41,Orphan bZip-1
Bziptun2, Tunicate bzip 2,citb010f17,KY21.Chr1.2225,Orphan bZip-2
Bziptun3, Tunicate bzip 3,ciad070b16,KY21.Chr1.2226,Orphan bZip-3
Bziptun4, Tunicate bzip 4 ,cilv020c01,KY21.Chr7.784,Orphan bZip-4
Bziptun5, Tunicate bzip 5,ciad077f22,KY21.Chr2.1426,Orphan bZip-5
Cbfb, core-binding factor subunit beta,ciad032f24,KY21.Chr5.812,
Cdx, caudal type homeobox ,citb004h19,KY21.Chr14.584,
Cebpa, CCAAT enhancer binding protein alpha,ciad095d11,KY21.Chr3.726,C/EBP?
Cebpb/c/d/e, CCAAT enhancer binding protein beta/gamma/delta/epsilon ,ciad095o08,KY21.Chr3.725,C/EBP?/?/?/?
Cebpz, CCAAT enhancer binding protein zeta,cieg054c20,KY21.Chr11.993,Cbf
Cic, capicua transcriptional repressor,cieg047c24,KY21.Chr4.370,
Creb1/Crem/Atf1, cAMP responsive element binding protein 1/cAMP responsive element modulator/activating transcription factor 1 ,ciad050l02,KY21.Chr1.1682,CREB/ATF-c
Creb3/l1/l4, cAMP responsive element binding protein 3/like3/like4 ,cieg027l12,KY21.Chr10.570,CREB/ATF-b
Creb3l1, cAMP responsive element binding protein 3 like 1 ,cieg009e24,KY21.Chr2.1371,CREB/ATF-a
Dbx, developing brain homeobox,grail.385.7.1,KY21.Chr3.662,
Deaf1, DEAF1 transcription factor // Ci-ZF567,citb011c24,KY21.Chr2.205,
Dlx.a, distal-less homeobox.a,AJ278696,KY21.Chr7.360,Dll-A
Dlx.b, distal-less homeobox.b ,cicl022f04,KY21.Chr7.361,Dll-B
Dlx.c, distal-less homeobox.c ,cilv080b23,KY21.Chr7.745,Dll-C
Dmbx, diencephalon/mesencephalon homeobox,not analyzed,KY21.Chr1.2074,Mbx/Dmbx
Dmrt.a, doublesex and mab-3 related transcription factor -related.a,ciad017d15,KY21.Chr5.707,DMRT1 // Ci-ZF277
Dmrt.b, doublesex and mab-3 related transcription factor -related.b,ciad034m05,KY21.Chr8.245,DMRT2 // Ci-ZF275
DM-transcription factor unassigned 1,,not analyzed,KY21.Chr10.483,Ci-ZF330
DM-transcription factor unassigned 2,,not analyzed,KY21.Chr10.483,
E2f1/2/3/6, E2F transcription factor 1/2/3/6 ,cieg020g18,KY21.Chr2.1178,
E2f4/5, E2F transcription factor 4/5,citb060d07,KY21.Chr6.488,
Ebf, Ebf transcription factor,ciad013f14,KY21.Chr1.422,COE
Elf, E74 like ETS transcription factor,cibd052l16,KY21.Chr14.495,
Elf3/Ehf,,cibd033i18,KY21.Chr4.468,ESE
Elk, ETS transcription factor Elk1/3/4 ,cilv026m05,KY21.Chr8.611,
Emx, empty spiracles homeobox ,cilv052a23,KY21.Chr8.1320,
En, engrailed homeobox,cilv039j03,KY21.Chr7.541,
Erf.a, Ets2 repressor factor.a,grail.138.33.1,KY21.Chr4.310,ERF1
Erf.b, Ets2 repressor factor.b ,cieg014f19,KY21.Chr4.609,ERF2
Esrr, estrogen related receptor ,ciad020o22,KY21.Chr11.439,ERR // Ci-ZF231
Ets1/2.a," ETS proto-oncogene 1/2, transcription factor.a",cibd061j11,KY21.Chr11.1028,ets/pointed1
Ets1/2.b," ETS proto-oncogene 1/2, transcription factor.b",ciad008k16,KY21.Chr10.346,ets/pointed2
Etv, Ets variant ,citb015j09,KY21.Chr1.779,ERM/ER81
Evx.a, even-skipped homeobox.a ,not analyzed,KY21.Chr1.1671,Evx-A
Evx.b, even-skipped homeobox.b,not analyzed,NA,Evx-B
Figla-r, folliculogenesis specific bHLH transcription factor-related,not analyzed,KY21.Chr2.1292,Figa-like
Fli1/Erg.a, ETS transcription factor Fli1/Erg.a ,cilv004i11,KY21.Chr4.148,Fli/ERG1
Fli1/Erg.b, ETS transcription factor Fli1/Erg.b ,ciad075p05,KY21.Chr10.839,Fli/ERG2
Fli1/Erg.c, ETS transcription factor Fli1/Erg.c ,citb055o21,KY21.Chr10.840,Fli/ERG3
Fli1/Erg.d, ETS transcription factor Fli1/Erg.d,citb004m11,KY21.Chr4.655,Fli/ERG4
Fos, Fos transcription factor family,cilv040d24,KY21.Chr11.1094,
Foxa.a, forkhead box a.a ,ciad004i10,KY21.Chr11.1129,FoxA-a
Foxa.b, forkhead box a.b ,cilv039o15,KY21.Chr11.403,FoxA-b
Foxb, forkhead box b ,cilv039e20,KY21.Chr4.768,FoxB
Foxc, forkhead box c ,cilv050a24,KY21.Chr12.158,FoxC
Foxd.a, forkhead box d.a ,not analyzed,KY21.Chr8.655,FoxD-a
Foxd.b, forkhead box d.b ,citb008o13,KY21.Chr8.654,FoxD-b
Foxe, forkhead box e ,not analyzed,KY21.Chr5.63,FoxE
Foxf, forkhead box f ,cicl007c02,KY21.Chr3.989,FoxF
Foxg, forkhead box g ,grail.3.71.1,KY21.Chr8.693,FoxG
Foxh.a, forkhead box h.a,citb038e24,KY21.Chr9.687,FoxH-a
Foxh.b, forkhead box h.b,cicl020k09,KY21.Chr14.63,FoxH-b
Foxi.a, forkhead box i.a ,cilv038c13,KY21.Chr8.890,FoxI-a
Foxi.b, forkhead box i.b ,cies004e21,KY21.Chr8.889,FoxI-b
Foxi.c, forkhead box i.c ,cies008h21,KY21.Chr8.885,FoxI-c
Foxj2, forkhead box j2 ,citb033n10,KY21.Chr1.958,FoxJ2
Foxk, forkhead box k ,cieg034p17,KY21.Chr12.73,FoxK
Foxl2, forkhead box l2 ,grail.146.26.1,KY21.Chr1.1700,FoxL2
Foxm, forkhead box m ,citb034k18,KY21.Chr4.836,FoxM
Foxn1/4.a, forkhead box n1/4.a,not analyzed,NA,FoxN1/4a
Foxn1/4.b, forkhead box n1/4.b,not analyzed,KY21.Chr6.674,FoxN1/4b
