	gene	myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	human.homolog	ciona.name
1	KY21:KY21.Chr1.1024	0.753	0.696010866849806	0.506	1.71557623576057	0.779	0.504	31	CEP85	
2	KY21:KY21.Chr1.1027	0.717	0.447947716369153	0.434	0.848891199492237	0.917	0.779	5	GNAI1	
3	KY21:KY21.Chr1.1027	0.795	0.639724227888994	0.59	1.18009846691275	0.951	0.782	28	GNAI1	
4	KY21:KY21.Chr1.1027	0.778	0.639797147563928	0.556	1.17934788344618	0.892	0.783	32	GNAI1	
5	KY21:KY21.Chr1.1027	0.735	0.562823651731054	0.47	1.04692303378604	0.875	0.784	33	GNAI1	
6	KY21:KY21.Chr1.1027	0.868	1.05099217907828	0.736	1.86000105184178	0.926	0.784	35	GNAI1	
7	KY21:KY21.Chr1.1037	0.72	0.67210964720668	0.44	3.0817402165014	0.53	0.138	21	MMP14 / MMP16	
8	KY21:KY21.Chr1.1059	0.76	0.661312235717576	0.52	1.33857155873535	0.845	0.583	4	COPS7A	
9	KY21:KY21.Chr1.1059	0.746	0.685069205930864	0.492	1.3759502100801	0.799	0.589	11	COPS7A	
10	KY21:KY21.Chr1.1059	0.781	0.715153128776528	0.562	1.42444505142613	0.874	0.589	19	COPS7A	
11	KY21:KY21.Chr1.1063	0.755	0.813739029224689	0.51	1.58607521056111	0.852	0.522	22	NR6A1 / CDIPTOSP	Nr6a
12	KY21:KY21.Chr1.110	0.716	1.03459570454968	0.432	1.86163672887694	0.817	0.733	17	VAMP3 / VAMP2	
13	KY21:KY21.Chr1.110	0.728	0.769036964299377	0.456	1.41143264055668	0.853	0.734	26	VAMP3 / VAMP2	
14	KY21:KY21.Chr1.110	0.722	0.90216622419946	0.444	1.63149599316538	0.818	0.735	32	VAMP3 / VAMP2	
15	KY21:KY21.Chr1.110	0.731	0.905532185825726	0.462	1.63689593578115	0.819	0.735	33	VAMP3 / VAMP2	
16	KY21:KY21.Chr1.110	0.806	0.69245905946939	0.612	1.27918609909226	0.932	0.734	34	VAMP3 / VAMP2	
17	KY21:KY21.Chr1.1122	0.706	0.401331763285824	0.412	1.31032691200093	0.692	0.336	4	NINL	
18	KY21:KY21.Chr1.1122	0.702	0.412233515401017	0.404	1.32106899242325	0.676	0.345	19	NINL	
19	KY21:KY21.Chr1.1130	0.71	0.415326968138182	0.42	0.790305172893382	0.896	0.773	4	HSP90B1	
20	KY21:KY21.Chr1.1130	0.732	0.455106507818033	0.464	0.858799995066666	0.906	0.776	19	HSP90B1	
21	KY21:KY21.Chr1.1133	0.727	0.513549712475899	0.454	0.972285221252396	0.888	0.603	2	KANK1	
22	KY21:KY21.Chr1.1133	0.851	0.912483991887499	0.702	1.66123218613249	0.975	0.601	5	KANK1	
23	KY21:KY21.Chr1.1133	0.864	0.969052207028573	0.728	1.75133171015262	0.988	0.604	10	KANK1	
24	KY21:KY21.Chr1.1133	0.874	1.08985602783108	0.748	1.94110667229771	0.982	0.609	20	KANK1	
25	KY21:KY21.Chr1.1133	0.789	0.649804048695438	0.578	1.20313814309038	0.964	0.611	24	KANK1	
