	gene	myAUC	avg_diff	power	avg_log2FC	pct.1	pct.2	cluster	human.homolog	ciona.name
1	KY21:KY21.Chr1.1000	0.731	0.66405829078776	0.462	1.83074626199106	0.694	0.445	19	PSMB7	
2	KY21:KY21.Chr1.1004	0.713	0.343987088679867	0.426	0.632632588861818	0.989	0.835	13	DNAJC2	
3	KY21:KY21.Chr1.1012	0.788	0.530677853064545	0.576	1.13844130844911	0.959	0.682	13	SPEN	
4	KY21:KY21.Chr1.1013	0.728	0.383361020369655	0.456	1.21193598230868	0.818	0.428	13	SPEN	
5	KY21:KY21.Chr1.1033	0.792	0.897896739570696	0.584	2.83268488910962	0.73	0.3	12	GRINA	
6	KY21:KY21.Chr1.1059	0.743	0.692457657814386	0.486	1.38172615192119	0.822	0.612	19	COPS7A	
7	KY21:KY21.Chr1.1063	0.743	0.594773968528177	0.486	1.09737137086889	0.9	0.596	11	NR6A1 / CDIPTOSP	Nr6a
8	KY21:KY21.Chr1.1063	0.712	0.509126200382526	0.424	0.946712858600641	0.875	0.599	15	NR6A1 / CDIPTOSP	Nr6a
9	KY21:KY21.Chr1.1089	0.715	0.589391399739463	0.43	1.45288121730957	0.758	0.574	19	DCUN1D1	
10	KY21:KY21.Chr1.1105	0.751	0.656535431841631	0.502	4.40745043296967	0.534	0.039	11	TMCO5B	
11	KY21:KY21.Chr1.1133	0.735	0.535970712478377	0.47	1.07268970505055	0.891	0.594	2	KANK1	
12	KY21:KY21.Chr1.1133	0.761	0.828142114414401	0.522	1.61035681171746	0.86	0.599	4	KANK1	
13	KY21:KY21.Chr1.1139	0.731	0.493076405138402	0.462	0.833559244618971	0.947	0.832	19	GMNN	
14	KY21:KY21.Chr1.1153	0.905	1.71786546876221	0.81	3.21289490871268	0.95	0.567	11	CMYA5 / CYB5R2	
15	KY21:KY21.Chr1.1153	0.82	0.980535980076572	0.64	1.91726597869019	0.891	0.571	14	CMYA5 / CYB5R2	
16	KY21:KY21.Chr1.1153	0.827	1.20044336883315	0.654	2.2992757277942	0.891	0.572	15	CMYA5 / CYB5R2	
